CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,email,Phone_number,Country
,Ankit,Female,36.0,Mumbai,2024-12-31,2025-08-13,2460.355,2.0,,,Canada
C2,Ravi,Female,43.0,Kolkata,,,2460.355,3.0,,,Canada
3,Ravi,Female,66.0,Ahmedabad,,2023-06-20,2460.355,3.0,user2@mail.com,,India
C4,Ankit,Male,44.0,Kolkata,,2025-09-13,2460.355,3.0,,9316267914,USA
5,Rahul,Male,43.0,Ahmedabad,2025-07-09,,2460.355,3.0,,9234603292,USA
C6,Amit,Unknown,64.0,Mumbai,,,2460.355,5.0,,,UK
7,Kiran,Unknown,43.0,Pune,,,2460.355,3.0,,,Australia
8,Rahul,Unknown,43.0,Delhi,,2021-11-15,2460.355,3.0,user7@mail.com,,Canada
C9,Simran,Female,43.0,Pune,,,2460.355,3.0,,,India
10,Simran,Unknown,43.0,Pune,2023-12-18,,887.49,3.0,,,Canada
,Ankit,Unknown,24.0,Chennai,,,2460.355,3.0,,,Unknown
C12,Ravi,Male,43.0,Hyderabad,2025-05-29,2021-03-20,2712.5,3.0,,,UK
13,Rahul,Male,43.0,Bangalore,,,2822.0,3.0,user12@mail.com,,Australia
14,Ravi,Unknown,43.0,Mumbai,2024-12-15,2022-03-26,2460.355,1.0,,,USA
15,Kiran,Unknown,62.0,Unknown,2022-10-16,2025-12-04,2460.355,5.0,,9610475090,USA
,Unknown,Female,30.0,Pune,,,2460.355,3.0,,,Canada
17,Pooja,Male,43.0,Pune,2021-12-18,2022-11-11,509.03,5.0,,,India
18,Priya,Female,43.0,Ahmedabad,,2021-10-10,1582.43,3.0,,,UK
19,Sneha,Unknown,38.0,Pune,2023-01-07,,2460.355,3.0,,,Unknown
20,Simran,Male,43.0,Pune,2021-07-21,2024-07-06,938.55,3.0,,9533545457,Canada
C21,Unknown,Female,26.0,Mumbai,2021-06-28,,2460.355,2.0,,9720985722,USA
C22,Ravi,Male,43.0,Kolkata,,,2460.355,3.0,user21@mail.com,9164267579,Unknown
23,Rahul,Male,43.0,Bangalore,2022-05-28,,2460.355,3.0,,,Australia
C24,Kiran,Male,43.0,Chennai,,,2460.355,3.0,,,Unknown
,Ankit,Female,43.0,Hyderabad,,,2460.355,4.0,,,Australia
26,Simran,Female,43.0,Kolkata,2025-07-17,2020-09-05,1250.98,3.0,,,UK
,Kiran,Unknown,43.0,Kolkata,2024-05-28,2020-11-14,4772.57,4.0,,,UK
C28,Neha,Female,43.0,Ahmedabad,,2022-05-30,84.02,2.0,,9693394106,Australia
C29,Unknown,Unknown,47.0,Hyderabad,,,2460.355,2.0,user28@mail.com,,Unknown
C30,Simran,Unknown,43.0,Pune,2022-10-11,2024-06-13,2460.355,3.0,,,India
31,Sneha,Unknown,21.0,Mumbai,2025-02-28,,2460.355,3.0,,9919454989,USA
,Rahul,Female,43.0,Unknown,,2024-05-09,41.61,3.0,,,Canada
C33,Ravi,Unknown,43.0,Chennai,2025-11-30,2024-01-23,2460.355,4.0,,,Unknown
,Unknown,Male,43.0,Kolkata,2023-04-16,2023-04-06,2460.355,3.0,,9281075045,Canada
C35,Pooja,Male,43.0,Unknown,2023-05-31,,1380.12,3.0,,,India
C36,Rahul,Male,43.0,Delhi,2024-09-26,,2460.355,3.0,,,Australia
37,Rahul,Male,43.0,Pune,,2025-05-18,2460.355,3.0,user36@mail.com,9168733414,Unknown
38,Kiran,Female,43.0,Mumbai,,2025-12-03,2460.355,3.0,,,India
39,Ankit,Male,43.0,Pune,2025-10-12,,870.32,1.0,,,UK
40,Rahul,Male,43.0,Unknown,2024-06-26,,2460.355,3.0,,,India
41,Ravi,Unknown,42.0,Ahmedabad,2023-01-08,,2460.355,3.0,,,Canada
,Simran,Female,43.0,Unknown,,,2460.355,1.0,user41@mail.com,,Canada
C43,Kiran,Female,43.0,Unknown,,,1719.83,5.0,,,Australia
,Kiran,Female,50.0,Chennai,2024-11-13,,2460.355,3.0,,,Australia
45,Neha,Female,43.0,Chennai,2022-12-07,,3631.99,3.0,,,Australia
,Neha,Female,67.0,Ahmedabad,,2022-07-01,1661.36,1.0,,,USA
C47,Rahul,Male,47.0,Mumbai,2024-10-25,,2460.355,3.0,,9948909030,India
48,Unknown,Female,43.0,Pune,,2022-04-08,2460.355,3.0,,,India
